,AATS8p,AATS8v,AATSC0d,AATSC0s,AATSC1c,AATSC1i,AATSC4c,AATSC4i,AATSC6dv,AATSC8i,AETA_eta_BR,ATS5p,ATSC1c,ATSC1i,ATSC1se,ATSC1v,ATSC2Z,ATSC2s,ATSC4c,ATSC4se,ATSC6are,ATSC8c,ATSC8d,BCUTd-1l,BIC5,CIC5,EState_VSA1,FCSP3,GATS1i,GATS3s,GATS3se,GATS4s,GATS6se,GGI10,GGI5,GGI8,HybRatio,JGI5,JGI9,MATS1i,MATS1se,MATS1v,MATS3s,MATS4se,MAXaaNH,MAXdsCH,MDEN-22,NaaN,NaaNH,PEOE_VSA1,PEOE_VSA2,PEOE_VSA9,SIC5,SaaN,SaaNH,SssSiH2,Xch-7d,nFARing,nG12FHRing,nHBDon
41,1.6762803354667801,208.0283478523053,0.6204986149584488,0.2113599056119832,0,0.12596775489944792,0,0.0719956912885053,-0.09664595568701156,0.2523708550370618,0.022134753200280688,194.073685723339,0,5.416613460676261,0.031937783933517844,213.11741536242323,-56.37673130193909,-2.3241125474504987,0,0.04774598337950124,-0.205321883656508,0,-5.551246537396122,1.7519599008042208,0.8886353811960608,0.15789473684210353,0.0,0.09090909090909091,0.636924568300265,0.8520766898808282,0.8535071538501193,0.9890181289899149,1.6479363418058952,0.004691358024691353,0.7924999999999999,0.10605631141345426,0.09090909090909091,0.021418918918918915,0.004376102292768958,0.08275455182835101,0.06941336538861645,0.08200173560003836,0.024998820190252728,0.04903455386319553,0,2.5185648148148148,0,0,0,0.0,0.0,0.0,0.9699129348799834,0.0,0.0,0.0,1.2475762386805676,1,1,0
42,1.326173066877438,167.09769211708854,0.6220009053870531,0.2393239776671193,-0.001535656302925119,0.07389085488887455,0.0002572166527267696,-0.08032572399435628,-0.4188924098385393,-0.02513565266169856,0.021283933682990912,241.162997453037,-0.0813897840550313,3.9162153091103513,-0.005787190583974554,198.70730973274908,-10.474422815753734,-3.4989311402846948,0.03240929824357297,0.1257751253961068,0.07538936170212653,-0.053111211240095886,-7.224988682661834,1.7515403462212085,0.8978450395596579,0.1276595744680833,0.0,0.07407407407407407,0.8532818763031186,0.7485826839546893,0.6134280843689365,0.6811381165889366,1.132563219790479,0.019795939189878584,1.1911111111111108,0.1345269589317208,0.07407407407407407,0.019851851851851853,0.0037505144032921804,0.049958721014690816,-0.006811694006807826,0.07241482600472311,-0.020632816345300592,0.06227122785025214,3.3800741685563116,2.4226129062736206,0.16666666666666669,1,1,4.9839785209472085,4.9839785209472085,0.0,0.9770172774480821,4.491917457575827,3.3800741685563116,0.0,1.1208962961162603,1,1,1
43,1.580607898361678,193.21332461795762,0.5990304709141274,0.2683041244409486,0,0.06213549532062262,0,0.045054453862753224,-0.39544801663915236,0.1531205393210222,0.02124936307226946,183.52278361909399,0,2.6718262987867725,0.03022581371191138,157.1647550598488,14.653739612188346,-2.669676614646862,0,0.18077484764542923,-0.4288412742382267,0,-6.000692520775623,1.7519641865483448,0.8936168350146791,0.1052631578947345,0.0,0.045454545454545456,0.7176644011920295,0.884492364325334,0.7904261825524047,1.0239709718771668,1.209825032476219,0.0,0.7505555555555555,0.11415816326530612,0.045454545454545456,0.01830623306233062,0.0033860596707818926,0.03991523030734503,0.04489683514301463,0.06606639896888164,0.040029669093706984,0.13120836210121517,0,2.2628801335348956,0,1,0,0.0,0.0,0.0,0.9799419565866558,4.873618276014109,0.0,0.0,1.0778868674801203,0,1,0
44,1.5836558623338266,198.6940210345147,0.6167800453514739,0.29693516924373775,0,0.07651337639778262,0,0.1342113428811023,-0.18136623648087496,0.040251353324851906,0.022044074171669096,235.021637505094,0,3.6726420670935656,0.027406741496598296,171.22238621648296,3.469387755102062,-4.068566838601009,0,0.19145258276643945,-0.21814149659863905,0,-8.306122448979593,1.7519642789022563,0.8967627285121519,0.09523809523809579,0.0,0.04,0.6706747616420838,0.6569921223456708,0.5253620230574462,0.8631680920713555,0.9650753488337878,0.0,0.9205555555555556,0.17812263794406652,0.04,0.017047325102880657,0.0041503772290809315,0.053786704564613465,0.01905131448594462,0.06578710741327766,0.06780960653034916,0.06142379851854212,0,2.2728286932056774,0,0,0,0.0,0.0,0.0,0.9823381882461553,0.0,0.0,0.0,1.3051789835795395,0,1,0
45,1.4436346722839268,173.90294608323836,0.5960207612456747,0.28782938324607654,0,-0.13568595263838504,0,-0.24010282374944653,-0.38315207384133115,-0.1281222214831264,0.021201622705082773,136.20381585818802,0,-5.156066200258632,0.13795446366781983,-146.8857344625814,87.43598615916952,-2.530028407547695,0,0.044844394463667794,-0.17700778546712748,0,-5.348615916955017,1.7517316462819152,0.8947225285496675,0.117647058823529,0.0,0.05555555555555555,1.0384702448583423,1.0911632340191548,1.3489737654667344,1.1762641904694389,1.4085075912790361,0.0,0.45833333333333326,0.06751543209876543,0.05555555555555555,0.019097222222222217,0.0023456790123456764,-0.06695782022576456,0.14607568652495698,-0.05337009885723073,-0.12111517536485691,0.023133393058046802,0,2.360848765432099,0,1,0,0.0,0.0,0.0,0.9768751020902563,4.772104119425547,0.0,-0.35426445578231314,1.073687925813246,1,1,0
46,1.712537789977794,223.52873169297345,0.6167800453514739,0.29693516924373775,0,-0.10217132617587756,0,0.0025053792626809662,0.19494081266568042,-0.03210485764090004,0.022645386757583718,227.87478881909402,0,-4.904223656442123,0.2166991496598638,118.9352644956137,77.12244897959187,0.792291202031797,0,0.07464787471655325,-0.14837981859410365,0,-7.5124716553288,1.7584205738801881,0.8967627285121519,0.09523809523809579,0.0,0.08333333333333333,0.8541531865737398,0.7477328456826206,0.697340049252298,0.9624875806969353,1.0451856913217843,0.035104581165187235,1.0116666666666665,0.2222615898211136,0.08333333333333333,0.020646258503401363,0.0038833774250440936,-0.06247731650917366,0.22701086008241633,0.04620394961727609,0.03632846199424013,0.036442728638699205,0,2.417622931888805,0.4999999999999999,2,0,0.0,0.0,0.0,0.9823381882461553,9.129037210384613,0.0,0.0,1.3149119480755433,1,1,0
47,1.4744673408081665,187.10819442572432,0.5913682277318643,0.35048500831848717,0,-0.1983356848941688,0,-0.48723656878898125,-0.008045795082832204,-0.0740889123978818,0.021201622705082773,133.902193233037,0,-7.338420341084246,0.1675553645546368,-186.19505192696687,71.00000000000003,-2.8841957789223667,0,0.2809036988062444,-0.43430082644628093,0,-2.5316804407713493,1.7515392116036423,0.8913056533651595,0.12121212121211844,0.0,0.058823529411764705,1.0897668971836842,0.9492850643750945,1.1104367311012717,1.102836592870598,1.1714502019862167,0.01510458116518723,0.6288888888888888,0.10254472159234063,0.058823529411764705,0.0262037037037037,0.003958333333333334,-0.09125435592601842,0.1387693215441888,-0.07103629808368933,-0.02953286002003443,0.1163221953716819,0,2.488681342907533,0.25,2,0,0.0,0.0,0.0,0.9759709256762963,8.936035072214274,0.0,-0.33051752645502663,1.050441723224816,1,1,0
48,1.953231163192022,227.9738268440118,0.6369612856099346,0.2314695687791006,0,-0.314964552272611,0,0.04855955234577794,0.17811054297540777,0.3475318291876898,0.023097133774205934,279.12113544849,0,-13.228511195449663,0.15731420598977341,-467.8662290372266,-21.270270270270263,-2.193240050750341,0,-0.08212865157048947,-0.01846603360116779,0,-7.095690284879474,1.7584200270451051,0.8897942060375473,0.1621621621621605,0.0,0.05263157894736842,1.123235545819723,0.9036860549213867,0.9973183416071102,1.2002133133225923,1.2988674760922332,0.0,0.6219444444444443,0.1148904006046863,0.05263157894736842,0.018846801346801344,0.003386059670781892,-0.14000206210870297,0.144136190968238,-0.1291909132597409,-0.015981780904294966,-0.036749431906588165,0,2.6111892951625095,0,0,0,0.0,0.0,0.0,0.9688715589178555,0.0,0.0,-0.42048604987262395,1.3565985565117762,1,1,0
49,1.49640109586678,179.85096539790953,0.6220009053870531,0.19241586203341982,-0.0001127502510648146,0.10181847092616378,0.00010456656733502529,-0.014053471709785255,-0.4193489139165916,-0.025312902036230964,0.021864511352149736,242.09323063758399,-0.0059757633064351735,5.396378959086681,0.029311798551382072,214.31787423424976,-58.69171570846539,-0.12925067733259932,0.013279954051548212,-0.004538778180171128,-0.22540009053870508,0.008003127533155449,-2.157537347215933,1.7519620569218397,0.8978450395596579,0.1276595744680833,0.0,0.07142857142857142,0.6876591672703992,0.8617197488474426,0.7973089065773014,0.8365904387855561,0.9852814917336633,0.03979593918987859,1.0555555555555554,0.18390967498110353,0.07142857142857142,0.01919191919191919,0.005378086419753086,0.07581149960058943,0.07832623720833583,0.07426666161188883,-0.05138791691384973,-0.005061461098468445,0,2.414436203493743,0,0,0,0.0,0.0,0.0,0.9770172774480821,0.0,0.0,0.0,1.1341122371529837,1,1,0
